"","benchmark","class","run","timeBudget","tool","score"
"55","FESCAR-32","com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest",1,60,"evosuite",6.68185624
"56","FESCAR-33","com.alibaba.fescar.core.model.GlobalStatus",1,60,"evosuite",7
"57","FESCAR-34","com.alibaba.fescar.core.protocol.ResultCode",1,60,"evosuite",7
"58","FESCAR-37","com.alibaba.fescar.core.rpc.RpcContext",1,60,"evosuite",2.6902379
"59","FESCAR-41","com.alibaba.fescar.core.rpc.netty.RmRpcClient",1,60,"evosuite",0
"60","FESCAR-42","com.alibaba.fescar.core.rpc.DefaultServerMessageListenerImpl",1,60,"evosuite",0.93545776732154
"61","SPOON-105","spoon.support.compiler.jdt.PositionBuilder",1,60,"evosuite",0.54979491
"62","SPOON-155","spoon.reflect.visitor.filter.AllMethodsSameSignatureFunction",1,60,"evosuite",0.434968034
"63","SPOON-169","spoon.reflect.visitor.ImportScannerImpl",1,60,"evosuite",0
"64","SPOON-16","spoon.reflect.path.CtElementPathBuilder",1,60,"evosuite",0.74042657
"65","SPOON-20","spoon.support.reflect.reference.CtLocalVariableReferenceImpl",1,60,"evosuite",0.737662339090909
"66","SPOON-211","spoon.reflect.path.impl.CtRolePathElement",1,60,"evosuite",1.10553743935945
"67","SPOON-253","spoon.pattern.internal.parameter.MapParameterInfo",1,60,"evosuite",2.7598685
"68","SPOON-25","spoon.pattern.internal.ValueConvertorImpl",1,60,"evosuite",0
"69","SPOON-32","spoon.MavenLauncher",1,60,"evosuite",0.8166667
"70","SPOON-65","spoon.support.DefaultCoreFactory",1,60,"evosuite",0
"71","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue",2,60,"evosuite",0.357704396
"72","GUAVA-22","com.google.common.graph.Graphs",2,60,"evosuite",1.44662309
"73","GUAVA-39","com.google.common.collect.TreeMultiset",2,60,"evosuite",1.05512822
"74","GUAVA-47","com.google.common.collect.FilteredEntryMultimap",2,60,"evosuite",0
"75","GUAVA-90","com.google.common.io.FileBackedOutputStream",2,60,"evosuite",6.72279866
"76","GUAVA-95","com.google.common.collect.ComparatorOrdering",2,60,"evosuite",0
"77","GUAVA-102","com.google.common.collect.LinkedListMultimap",2,60,"evosuite",1.11901252
"78","GUAVA-110","com.google.common.collect.LexicographicalOrdering",2,60,"evosuite",0
"79","GUAVA-128","com.google.common.base.Throwables",2,60,"evosuite",6.13092302
"80","GUAVA-129","com.google.common.collect.SparseImmutableTable",2,60,"evosuite",2.93817198
"81","GUAVA-159","com.google.common.primitives.ParseRequest",2,60,"evosuite",5
"82","GUAVA-169","com.google.common.math.LongMath",2,60,"evosuite",6.8175494173913
"83","GUAVA-177","com.google.common.primitives.Doubles",2,60,"evosuite",6.9462864
"84","GUAVA-181","com.google.common.primitives.SignedBytes",2,60,"evosuite",6.97727272727273
"85","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType",2,60,"evosuite",7
"86","GUAVA-196","com.google.common.io.Closeables",2,60,"evosuite",4.80000004
"87","GUAVA-206","com.google.common.collect.ImmutableEnumSet",2,60,"evosuite",0.83116886
"88","GUAVA-212","com.google.common.net.MediaType",2,60,"evosuite",2.3584887
"89","GUAVA-224","com.google.common.primitives.UnsignedLongs",2,60,"evosuite",7
"90","GUAVA-240","com.google.common.collect.FilteredMultimapValues",2,60,"evosuite",0
"91","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider",2,60,"evosuite",2.5417862
"92","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret",2,60,"evosuite",1.9246031
"93","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider",2,60,"evosuite",6.57894737
"94","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2",2,60,"evosuite",0
"95","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer",2,60,"evosuite",0
"96","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode",2,60,"evosuite",6.3571429
"97","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent",2,60,"evosuite",1.2894737
"98","PDFBOX-117","org.apache.pdfbox.filter.Predictor",2,60,"evosuite",2.59891487529412
"99","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser",2,60,"evosuite",3.02331362
"100","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner",2,60,"evosuite",0
"101","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font",2,60,"evosuite",0.278346126
"102","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine",2,60,"evosuite",1.30702148181818
"103","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream",2,60,"evosuite",4.40454544
"104","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter",2,60,"evosuite",0.48111888
"105","PDFBOX-229","org.apache.pdfbox.util.XMLUtil",2,60,"evosuite",2.7914286
"106","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound",2,60,"evosuite",2.75452196
"107","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder",2,60,"evosuite",0
"108","PDFBOX-265","org.apache.pdfbox.pdmodel.font.PDType3Font",2,60,"evosuite",1.4548611
"109","PDFBOX-278","org.apache.pdfbox.pdfwriter.ContentStreamWriter",2,60,"evosuite",2.93333328
"110","PDFBOX-285","org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature",2,60,"evosuite",2.7162838
"111","FESCAR-2","com.alibaba.fescar.core.service.ServiceManagerStaticConfigImpl",2,60,"evosuite",0.21052631
"112","FESCAR-5","com.alibaba.fescar.core.protocol.MessageFuture",2,60,"evosuite",7
"113","FESCAR-6","com.alibaba.fescar.core.rpc.netty.TmRpcClient",2,60,"evosuite",0
"114","FESCAR-7","com.alibaba.fescar.core.rpc.netty.MessageCodecHandler",2,60,"evosuite",0.945352563333334
"115","FESCAR-8","com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory",2,60,"evosuite",1.16536575128143
"116","FESCAR-9","com.alibaba.fescar.core.protocol.transaction.GlobalBeginRequest",2,60,"evosuite",6.96666664
"117","FESCAR-10","com.alibaba.fescar.core.model.BranchType",2,60,"evosuite",7
"118","FESCAR-12","com.alibaba.fescar.core.rpc.netty.RpcServerHandler",2,60,"evosuite",6.75
"119","FESCAR-13","com.alibaba.fescar.core.exception.TransactionExceptionCode",2,60,"evosuite",7
"120","FESCAR-15","com.alibaba.fescar.core.rpc.netty.RpcServer",2,60,"evosuite",0.00798381915584416
"121","FESCAR-17","com.alibaba.fescar.core.protocol.transaction.GlobalBeginResponse",2,60,"evosuite",6.9722222
"122","FESCAR-23","com.alibaba.fescar.core.protocol.MergeResultMessage",2,60,"evosuite",2.4761905
"123","FESCAR-25","com.alibaba.fescar.core.rpc.netty.RmMessageListener",2,60,"evosuite",2.14101243184511
"124","FESCAR-28","com.alibaba.fescar.core.rpc.ClientType",2,60,"evosuite",7
