"","benchmark","class","tool","budget","config","score.mean","score.sd"
"35","GUAVA-128","com.google.common.base.Throwables","randoop",60,"GUAVA-128_com.google.common.base.Throwables_60",2.00903800229355,0.00571636246315055
"36","GUAVA-128","com.google.common.base.Throwables","randoop",180,"GUAVA-128_com.google.common.base.Throwables_180",2.04897029685052,0.00206617930965235
"37","GUAVA-129","com.google.common.collect.SparseImmutableTable","evosuite",60,"GUAVA-129_com.google.common.collect.SparseImmutableTable_60",2.13674908823501,0.981443456167831
"38","GUAVA-129","com.google.common.collect.SparseImmutableTable","evosuite",180,"GUAVA-129_com.google.common.collect.SparseImmutableTable_180",2.90471638205111,0.186482052712141
"39","GUAVA-129","com.google.common.collect.SparseImmutableTable","randoop",60,"GUAVA-129_com.google.common.collect.SparseImmutableTable_60",1.59930189367339,0.00572439223144491
"40","GUAVA-129","com.google.common.collect.SparseImmutableTable","randoop",180,"GUAVA-129_com.google.common.collect.SparseImmutableTable_180",1.63490077263556,0.00318606197096684
"41","GUAVA-159","com.google.common.primitives.ParseRequest","evosuite",60,"GUAVA-159_com.google.common.primitives.ParseRequest_60",5,0
"42","GUAVA-159","com.google.common.primitives.ParseRequest","evosuite",180,"GUAVA-159_com.google.common.primitives.ParseRequest_180",5,0
"43","GUAVA-159","com.google.common.primitives.ParseRequest","randoop",60,"GUAVA-159_com.google.common.primitives.ParseRequest_60",4.36879288686478,0.0567576174699533
"44","GUAVA-159","com.google.common.primitives.ParseRequest","randoop",180,"GUAVA-159_com.google.common.primitives.ParseRequest_180",4.58678002436718,0.013846162763316
"45","GUAVA-169","com.google.common.math.LongMath","evosuite",60,"GUAVA-169_com.google.common.math.LongMath_60",6.81090987186938,0.0113577049341682
"46","GUAVA-169","com.google.common.math.LongMath","evosuite",180,"GUAVA-169_com.google.common.math.LongMath_180",6.145290195,2.15928171329705
"47","GUAVA-169","com.google.common.math.LongMath","randoop",60,"GUAVA-169_com.google.common.math.LongMath_60",1.76352385028386,0.0829539638216448
"48","GUAVA-169","com.google.common.math.LongMath","randoop",180,"GUAVA-169_com.google.common.math.LongMath_180",2.06498421641494,0.0280929255479455
"49","GUAVA-177","com.google.common.primitives.Doubles","evosuite",60,"GUAVA-177_com.google.common.primitives.Doubles_60",6.97274538,0.0192668589878983
"50","GUAVA-177","com.google.common.primitives.Doubles","evosuite",180,"GUAVA-177_com.google.common.primitives.Doubles_180",6.97082228,0.0176710551653011
