tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,GUAVA-159,com.google.common.primitives.ParseRequest,8,227,41006,800,9,0,0,0,19,19,100.0,12,12,100.0,8,8,100.0,4,50.0,4,60,2
evosuite,GUAVA-159,com.google.common.primitives.ParseRequest,5,233,41247,814,9,0,0,0,19,19,100.0,12,12,100.0,8,8,100.0,4,50.0,4,60,2
evosuite,PDFBOX-278,org.apache.pdfbox.pdfwriter.ContentStreamWriter,1,224,56174,7454,15,0,0,0,77,70,90.909096,30,29,96.666664,58,52,89.655174,0,0.0,58,60,2
evosuite,GUAVA-240,com.google.common.collect.FilteredMultimapValues,9,233,55827,5798,5,0,2,0,26,3,11.538462,6,0,0.0,12,0,0.0,0,0.0,12,60,2
evosuite,PDFBOX-157,org.apache.pdfbox.pdmodel.font.PDType1Font,6,236,49139,18,0,0,0,0,238,0,0.0,138,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,PDFBOX-285,org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature,4,257,55898,49021,59,0,0,0,91,90,98.9011,22,20,90.909096,64,62,96.875,0,0.0,64,60,2
evosuite,GUAVA-181,com.google.common.primitives.SignedBytes,5,239,44032,1110,34,0,0,0,38,38,100.0,22,22,100.0,42,42,100.0,42,100.0,0,60,2
evosuite,FESCAR-13,com.alibaba.fescar.core.exception.TransactionExceptionCode,7,235,41120,1112,7,0,0,0,21,21,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-2,com.google.common.collect.MinMaxPriorityQueue,8,224,55471,5109,5,0,0,0,106,32,30.188679,53,7,13.207547,96,33,34.375,33,34.375,63,60,2
evosuite,FESCAR-17,com.alibaba.fescar.core.protocol.transaction.GlobalBeginResponse,6,227,51331,3759,19,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,60,2
evosuite,GUAVA-95,com.google.common.collect.ComparatorOrdering,5,231,46902,3720,1,0,0,0,12,4,33.333336,4,0,0.0,8,1,12.5,1,12.5,7,60,2
evosuite,PDFBOX-198,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine,4,244,56270,19410,56,0,0,0,144,96,66.66667,82,27,32.92683,92,51,55.43478,0,0.0,92,60,2
evosuite,PDFBOX-157,org.apache.pdfbox.pdmodel.font.PDType1Font,10,227,48171,13,0,0,0,0,238,0,0.0,138,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,FESCAR-17,com.alibaba.fescar.core.protocol.transaction.GlobalBeginResponse,7,230,51361,7019,19,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,0,0.0,17,60,2
evosuite,FESCAR-28,com.alibaba.fescar.core.rpc.ClientType,7,232,40955,914,6,0,0,0,8,8,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-159,com.google.common.primitives.ParseRequest,9,236,41056,801,9,0,0,0,19,19,100.0,12,12,100.0,8,8,100.0,4,50.0,4,60,2
