"","tool","budget","score.sum","score.sd"
"1","evosuite",60,199.73483487014,33.7189743953258
"2","randoop",60,152.773248180165,1.54798762223593
"3","evosuite",180,206.403349595242,45.6356583150797
"4","randoop",180,157.979934835127,3.44287123935952
